Name,Icon Image,Photo Image,House Image,Species,Gender,Personality,Subtype,Hobby,Birthday,Catchphrase,Favorite Song,Favorite Saying,Style 1,Style 2,Color 1,Color 2,Default Clothing,Default Umbrella,Wallpaper,Flooring,Furniture List,Furniture Name List,DIY Workbench,Kitchen Equipment,Version Added,Name Color,Bubble Color,Filename,Unique Entry ID
Cobb,,,,Pig,Male,Jock,B,Education,10/7,hot dog,Pondering,Might makes right.,Simple,Active,White,Blue,8946,camo umbrella,gray shanty wall,concrete flooring,1434;1750;1759;1759;1759;3672;3697;3943;3968;4034;4034;4116;4125;4125;4125;7159;7371,sleeping bag;document stack;stack of books;stack of books;stack of books;cardboard box;portable radio;ironwood DIY workbench;homework set;scattered papers;scattered papers;whiteboard;wooden bookshelf;wooden bookshelf;wooden bookshelf;cardboard sofa;sloppy rug,"3943,2_0","3270,3_0",1.0.0,#878e86,#a8e989,pig08,mTNPvAaoYMmPndYnm
Coco,,,,Rabbit,Female,Normal,B,Education,3/1,doyoing,K.K. Jongara,Don't put off till tomorrow what you can do today.,Simple,Cute,Beige,Green,4167,leaf umbrella,rammed-earth wall,floral rush-mat flooring,343;343;2559;3229;3397;3398;3398;3675;4025;4073;4073;4393,tiki torch;tiki torch;pot;clothesline;stone table;stone stool;stone stool;hay bed;unglazed dish set;classic pitcher;classic pitcher;old-fashioned washtub,7142,717,1.0.0,#fffce9,#e4b887,rbt02,2g7sGcTtHcJeWtwNM
Cole,,,,Rabbit,Male,Lazy,A,Nature,8/10,coooooool,K.K. Faire,Little pitchers have big ears.,Simple,Cute,Orange,Colorful,3288,orange umbrella,tropical vista,sandy-beach flooring,664;665;669;1117;3345;3468;3697;7148;7259;7359;7868;9584,beach chair;wave breaker;ukulele;sand castle;lifeguard chair;beach towel;portable radio;life ring;palm-tree lamp;colorful vinyl sheet;surfboard;beach ball,7142,"3251,0_0",1.0.0,#fffce9,#515151,rbt18,YaWjP3XtbFqn8YPNd
Colton,,,,Horse,Male,Smug,A,Nature,5/22,check it,K.K. Chorale,Make hay while the sun shines.,Gorgeous,Elegant,Blue,Red,4433,gelato umbrella,palace wall,palace tile,685;742;915;1875;2554;3681;3957;5956;7236,Dala horse;fireplace;cuckoo clock;grand piano;double sofa;piano bench;antique bed;Aquarius urn;lily record player,"3943,4_0","3616,7_0",1.0.0,#848484,#ffffff,hrs11,GgsrLhmh3FL4ZiAPB
Cookie,,,,Dog,Female,Peppy,B,Fashion,6/18,arfer,Bubblegum K.K.,Don't lose sight of what you're really after.,Cute,Cute,Green,Aqua,7916,blue shiny-bows parasol,pink quilt wall,birch flooring,3624;3995;3996;3997;3998;4000;4001;4002;4003;7134;7322,cute bed;cute DIY table;cute wall-mounted clock;cute wardrobe;cute sofa;cute tea table;cute vanity;cute floor lamp;cute music player;wooden low table;pink heart rug,"3995,0_0","3270,4_0",1.0.0,#fffce9,#f993ce,dog08,YvNrsTEJsqkpdRNqL
Cousteau,,,,Frog,Male,Jock,B,Fitness,12/17,oui oui,Imperial K.K.,"Jump first, ask questions later.",Elegant,Gorgeous,Green,Red,2672,kabuki umbrella,exquisite wall,imperial tile,329;794;3970;3971;3972;3974;7282;7796;7797;7797;8415;10742;10742,goldfish;phonograph;imperial decorative shelves;imperial partition;imperial chest;imperial low table;hanging scroll;imperial dining table;imperial dining chair;imperial dining chair;imperial dining lantern;bamboo stool;bamboo stool,"3943,0_0","3616,1_0",1.0.0,#9b553a,#ffd00d,flg10,XPhZym7Wxu926eLD8
Cranston,,,,Ostrich,Male,Lazy,A,Nature,9/23,sweatband,K.K. Faire,Hard work beats talent.,Simple,Cool,Beige,Brown,4154,camo umbrella,white subway-tile wall,stone tile,725;997;3428;3949;3970;3971;3972;3973;3974;4338;7282;7348;7348;8415,paper lantern;incense burner;wall-mounted TV (50 in.);anthurium plant;imperial decorative shelves;imperial partition;imperial chest;imperial bed;imperial low table;portable record player;hanging scroll;red carpet;red carpet;imperial dining lantern,"1241,7_0","3251,2_0",1.0.0,#848484,#ffffff,ost06,Wbivs7b7D3NZ7q9y9
Croque,,,,Frog,Male,Cranky,A,Nature,7/18,as if,K.K. Folk,"Where there's smoke, there's fire.",Elegant,Cool,Red,Orange,9127,paper parasol,autumn wall,colored-leaves flooring,533;533;533;3675;7142;7345;7390;7408;7788;10743,tree standee;tree standee;tree standee;hay bed;simple DIY workbench;shanty mat;leaf stool;maple-leaf pond stone;leaf campfire;bamboo speaker,7142,"3270,1_0",1.0.0,#fff2bb,#ff791f,flg17,SqHZjtuNfu7DAXYDE
Cube,,,,Penguin,Male,Lazy,B,Play,1/29,brainfreeze,Farewell,Sometimes you gotta learn to chill.,Simple,Cute,Yellow,Colorful,8203,blue dot parasol,snowflake wall,simple white flooring,83;1145;1557;1559;1561;1565;2558;3205;4003;4067;4279;5543;7346,rocking horse;snow globe;wooden-block bed;wooden-block bench;wooden-block chest;wooden-block table;wooden-block chair;wooden-block stereo;cute music player;tabletop festive tree;frozen-treat set;wooden-block stool;snowflake rug,"3995,0_0","3251,1_0",1.0.0,#fffce9,#515151,pgn02,YskkqbSnYwCh63Sru
Curlos,,,,Sheep,Male,Smug,B,Nature,5/8,shearly,K.K. Salsa,"If you want to know yourself better, ask your neighbors.",Active,Gorgeous,Red,Green,8204,vinyl umbrella,wild-wood wall,dark herringbone flooring,383;704;791;954;1177;1277;1803;2554;4123;4138;4139;4144;7348,acoustic guitar;tapestry;jukebox;espresso maker;foosball table;cacao tree;drum set;double sofa;mini-cactus set;diner counter chair;diner counter table;diner neon clock;red carpet,"3943,3_0","3251,0_0",1.0.0,#9b553a,#ffd00d,shp08,B6tM7dBSpcaMrAGrF
Curly,,,,Pig,Male,Jock,B,Fitness,7/26,nyoink,K.K. Reggae,Get fired up!,Simple,Active,Yellow,Colorful,5262,blue umbrella,common wall,wooden-knot flooring,1229;1232;2554;2713;3251;3282;3439;4003;4030;4118;5543;7352;8298,bathroom sink;water cooler;double sofa;refrigerator;gas range;pop-up toaster;wooden table;cute music player;bathroom towel rack;magnetic knife rack;wooden-block stool;yellow argyle rug;bunk bed,"1241,0_0","3251,2_0",1.0.0,#fffce9,#f993ce,pig00,kRGwwKyoSLKh9g2Tk
Curt,,,,Bear,Male,Cranky,A,Nature,7/1,fuzzball,Comrade K.K.,A Bell saved is a Bell earned.,Cool,Cool,Blue,White,6835,bat umbrella,chain-link fence,sandlot,787;889;1429;1433;1434;3229;3672;3819;4094;4393;7163,tape deck;camp stove;campfire;campfire cookware;sleeping bag;clothesline;cardboard box;oil-barrel bathtub;floating-biotope planter;old-fashioned washtub;cardboard chair,7142,717,1.0.0,#fffce9,#515151,bea02,w7y7v3w49B7KkDXbg
Cyd,,,,Elephant,Male,Cranky,A,Music,6/9,rockin',K.K. Metal,"Do what you want, but do it loud!",Cool,Active,Black,Yellow,3256,bat umbrella,skull wall,skull-print flooring,132;1803;3193;3195;3196;3200;3270;3559;3943;4757;9642,succulent plant;drum set;ironwood chair;ironwood cart;ironwood dresser;ironwood bed;ironwood kitchenette;iron wall lamp;ironwood DIY workbench;throwback skull radio;iron closet,"3943,3_0","3270,3_0",1.0.0,#fffad4,#ff4040,elp12,edCh8EDStBMbyskYa
Cyrano,,,,Anteater,Male,Cranky,B,Education,3/9,ah-CHOO,K.K. Lament,Don't punch your nose to spite your face.,Cool,Active,Yellow,Beige,4249,paper parasol,shoji screen,tatami,716;722;3230;3554;3556;3658;7047;7048,screen;hearth;futon;bamboo candleholder;bamboo stopblock;bamboo basket;zen cushion;pile of zen cushions,7142,717,1.0.0,#fffad4,#194c89,ant00,JaNDeYdAuiJCYZbAx
Daisy,,,,Dog,Female,Normal,B,Education,11/16,bow-WOW,Forest Life,It's not always a dog-eat-dog world.,Simple,Cute,Colorful,Blue,4613,peach umbrella,blue blossoming wall,simple white flooring,2560;3252;3467;3701;3702;4003;4111;4125;4132;7132;7134;7346,wooden chest;LCD TV (50 in.);tea set;study desk;study chair;cute music player;old-fashioned alarm clock;wooden bookshelf;yucca;wooden double bed;wooden low table;snowflake rug,"3943,4_0","3251,1_0",1.0.0,#879b96,#fff98f,dog07,2u92atfG2uMg2J8sS
Deena,,,,Duck,Female,Normal,B,Education,6/27,woowoo,Mr. K.K.,Duck...duck...GOOSE!,Simple,Cute,Colorful,Blue,3059,strawberry umbrella,perforated-board wall,natural-block flooring,833;1058;1308;1308;1449;1744;1875;2012;3681;4121,upright locker;music stand;school chair;school chair;cello;wall clock;grand piano;chalkboard;piano bench;marimba,"3943,0_0","3270,0_0",1.0.0,#fffad4,#798040,duk04,dXBazBPxXu9QGrAzM
Deirdre,,,,Deer,Female,Big Sister,A,Play,5/4,whatevs,K.K. Bossa,"Legs of an antelope, heart of an eagle.",Simple,Simple,Orange,Orange,7844,cherry umbrella,autumn wall,colored-leaves flooring,805;808;1620;3808;4003;4038;4708;6075;6078;6081;7142,mush lamp;mush table;hammock;mush log;cute music player;log stool;mush low stool;tree's bounty mobile;tree's bounty lamp;tree's bounty arch;simple DIY workbench,7142,"3251,2_0",1.0.0,#4b4496,#ddcdca,der04,ibnMhhdYMGHYr9RAZ
Del,,,,Alligator,Male,Cranky,B,Fitness,5/27,gronk,Pondering,The hero is brave in deeds as well as words.,Cool,Simple,Blue,White,2655,bat umbrella,industrial wall,ship deck,1567;1567;3560;3560;3563;3943;3992;4026;7262;7280;7280;7280;7526;7528;7529;7529;7599;8417,oil barrel;oil barrel;iron worktable;iron worktable;iron shelf;ironwood DIY workbench;key holder;utility sink;metal can;gears;gears;gears;outdoor generator;tool cart;folding chair;folding chair;board game;wall-mounted tool board,"3943,3_0","3251,0_0",1.0.0,#9ae8df,#6b75ce,crd04,Eqn3ZXJtMBrEYtm7u
Deli,,,,Monkey,Male,Lazy,A,Nature,5/24,monch,K.K. Étude,"Righty tighty, lefty loosey.",Gorgeous,Elegant,Purple,Brown,3262,pear umbrella,blue simple-cloth wall,simple blue flooring,929;1411;1850;2554;2560;2605;3438;3490;3584;3701;3702;4003;4111;4125;7134;7467,air conditioner;globe;laptop;double sofa;wooden chest;wooden simple bed;wooden end table;wooden waste bin;study poster;study desk;study chair;cute music player;old-fashioned alarm clock;wooden bookshelf;wooden low table;blue dotted rug,"1241,5_0","3251,3_0",1.0.0,#fffce9,#c0ab72,mnk08,zh7aML2hmMKy5bbiR
Derwin,,,,Duck,Male,Lazy,B,Play,5/25,derrrr,K.K. Stroll,Everything in moderation. Except for snacks.,Simple,Elegant,Yellow,Beige,7764,green umbrella,backyard-fence wall,backyard lawn,1116;1199;1631;2329;2329;3509;4003;4379;4379,sandbox;tricycle;garden faucet;tire toy;tire toy;garden bench;cute music player;springy ride-on;springy ride-on,7142,"3270,4_0",1.0.0,#fffce9,#0961f6,duk08,nBcDHyXheHurcisiL
Diana,,,,Deer,Female,Snooty,A,Education,1/4,no doy,Farewell,Sometimes you have to lose to win.,Elegant,Gorgeous,Purple,Pink,3573,black chic umbrella,white botanical-tile wall,stone tile,742;1840;3340;3468;3983;4017;4046;4051;4054;7236;10244,fireplace;whirlpool bath;deer decoration;beach towel;shell bed;shower set;rattan end table;rattan vanity;rattan low table;lily record player;fragrance sticks,"3943,4_0","3270,4_0",1.0.0,#725661,#ffebff,der08,QGyW9QJjjxo3jta6j
Diva,,,,Frog,Female,Big Sister,A,Fitness,10/2,ya know,K.K. Oasis,Eyes are the windows to the soul.,Gorgeous,Elegant,Purple,Aqua,3441,red chic umbrella,ancient wall,rocky-mountain flooring,3473;3772;5165;5165;5165;5959;5959;8702;8702;8825,golden seat;golden candlestick;wall-mounted candle;wall-mounted candle;wall-mounted candle;Cancer table;Cancer table;sphinx;sphinx;golden casket,"3943,0_0","3270,3_0",1.0.0,#fffce9,#a06fce,flg18,FmQ9x68HncTm8vdsG
Dizzy,,,,Elephant,Male,Lazy,B,Play,7/14,woo-oo,Two Days Ago,Keep it mellow.,Simple,Simple,Yellow,Blue,8200,rainbow umbrella,yellow playroom wall,backyard lawn,85;86;1557;1558;1561;3205;3584;3623;4111;5543,train set;elephant slide;wooden-block bed;wooden-block bookshelf;wooden-block chest;wooden-block stereo;study poster;toy box;old-fashioned alarm clock;wooden-block stool,"1241,6_0","3251,1_0",1.0.0,#fffce9,#7fa9ff,elp01,vthzJrsaM6Y7dykA5
Dobie,,,,Wolf,Male,Cranky,A,Nature,2/17,ohmmm,Agent K.K.,Old longings never truly fade.,Simple,Cool,Brown,Beige,4212,busted umbrella,classic-library wall,dark herringbone flooring,794;1211;1750;1759;1759;3561;3672;3672;3783;3784;3951;3958;4029;4034;4106;4110;4116;8036,phonograph;typewriter;document stack;stack of books;stack of books;iron hanger stand;cardboard box;cardboard box;den desk;den chair;antique console table;antique mini table;rotary phone;scattered papers;pendulum clock;essay set;whiteboard;yellow Persian rug,"3943,2_0","3270,2_0",1.0.0,#fffad4,#798040,wol04,YjMXvmH5eovNYShdE
Doc,,,,Rabbit,Male,Lazy,B,Education,3/16,old bunny,Pondering,One cannot live on carrots alone.,Simple,Elegant,Gray,Beige,3225,green umbrella,classic-library wall,dark-block flooring,794;1326;1929;2012;3174;3584;3683;3783;3784;3951;4016;4030;4072;4106;4125;4125;7333;7348,phonograph;skeleton;toilet;chalkboard;doctor's coat;study poster;plain sink;den desk;den chair;antique console table;lab-experiments set;bathroom towel rack;toilet-cleaning set;pendulum clock;wooden bookshelf;wooden bookshelf;ivory simple bath mat;red carpet,"3122,2_0","3251,4_0",1.0.0,#fffce9,#0961f6,rbt10,iasth9JRLdRvLzuQ7
Dom,,,,Sheep,Male,Jock,A,Play,3/18,indeedaroo,K.K. Country,Be true to your most shiny self.,Active,Cute,Red,Colorful,4211,red umbrella,backyard-fence wall,backyard lawn,338;1082;1157;1631;1708;3675;3962;4038;4042;5970;5973;5973;5973;5973,lawn mower;picnic basket;brick oven;garden faucet;cassette player;hay bed;inflatable sofa;log stool;log bench;firewood;log stakes;log stakes;log stakes;log stakes,7142,717,1.0.0,#97858e,#feeae7,shp15,T6YJZ7vj2X52zmDcp
Dora,,,,Mouse,Female,Normal,B,Education,2/18,squeaky,K.K. Faire,The squeaky wheel gets the cheese.,Simple,Elegant,Blue,Aqua,4407,maple-leaf umbrella,dojo wall,floral rush-mat flooring,717;739;3230;3554;3557;7047;7048;7282;10742;10743,clay furnace;tea table;futon;bamboo candleholder;bamboo floor lamp;zen cushion;pile of zen cushions;hanging scroll;bamboo stool;bamboo speaker,"3943,3_0",717,1.0.0,#848484,#ffffff,mus00,9Qpj5fqp4E8PvGGFw
Dotty,,,,Rabbit,Female,Peppy,B,Fashion,3/14,wee one,Drivin',It's always a good hare day.,Simple,Cute,Blue,Black,8359,lacy parasol,green intricate wall,pine-board flooring,928;1845;2561;2605;3251;3275;3282;3436;3438;3467;4027;4132;4338;7134;7137;7354;9766,pot rack;simple kettle;floor lamp;wooden simple bed;gas range;ironwood clock;pop-up toaster;wooden wardrobe;wooden end table;tea set;floral swag;yucca;portable record player;wooden low table;wooden full-length mirror;green shaggy rug;mini fridge,"3943,4_0","3251,1_0",1.0.0,#848484,#ffffff,rbt01,CRMJaAokcTnrXsQdp
Drago,,,,Alligator,Male,Lazy,A,Nature,2/12,burrrn,Imperial K.K.,There is no room for two dragons in one pond.,Elegant,Gorgeous,Orange,Red,3462,panda umbrella,imperial wall,imperial tile,794;3970;3971;3972;3972;6031;6031;7021;7796;7797;8415;8415,phonograph;imperial decorative shelves;imperial partition;imperial chest;imperial chest;cherry-blossom branches;cherry-blossom branches;sea horse model;imperial dining table;imperial dining chair;imperial dining lantern;imperial dining lantern,"3943,0_0","3616,4_0",1.0.0,#28665a,#78dd62,crd08,qjqzytG4LCEoong4w
Drake,,,,Duck,Male,Lazy,B,Play,6/25,quacko,K.K. Blues,...Quack.,Cool,Simple,Brown,Red,3630,gelato umbrella,cabin wall,common flooring,85;742;2560;2605;2731;3122;3438;4044;4119;4338;4572;8035,train set;fireplace;wooden chest;wooden simple bed;digital alarm clock;mini DIY workbench;wooden end table;log extra-long sofa;macrame tapestry;portable record player;shaded floor lamp;blue Persian rug,"3122,5_0","3251,0_0",1.0.0,#fffce9,#459aba,duk09,CKAsCWnKjfQYG8R7v
Drift,,,,Frog,Male,Jock,B,Fitness,10/9,dribbit,K.K. Metal,Always go for the gold!,Simple,Active,Orange,Red,3323,leaf umbrella,gray shanty wall,skull-print flooring,132;941;1288;3194;3196;3200;3563;3943;4757;8417,succulent plant;DJ's turntable;fan palm;ironwood low table;ironwood dresser;ironwood bed;iron shelf;ironwood DIY workbench;throwback skull radio;wall-mounted tool board,"3943,1_0","3270,1_0",1.0.0,#fff2bb,#ff791f,flg04,gf6jM4si5zSEFjf9w
Ed,,,,Horse,Male,Smug,B,Nature,9/16,greenhorn,K.K. Ballad,Beauty is pretty!,Gorgeous,Elegant,Black,Gray,3690,vinyl umbrella,blue delicate-blooms wall,rosewood flooring,742;796;2554;3949;3951;3957;4015;4028;4106;6545,fireplace;retro stereo;double sofa;anthurium plant;antique console table;antique bed;shower booth;retro radiator;pendulum clock;Ed's photo,"3943,2_0","3616,4_0",1.0.0,#fffce9,#55cfff,hrs06,JmHu7aFcqj9hxKupZ
Egbert,,,,Chicken,Male,Lazy,B,Play,10/14,doodle-duh,Lucky K.K.,You gotta break a few eggs to make an omelet.,Simple,Simple,Beige,Brown,4446,leaf umbrella,cabin wall,wooden-knot flooring,1232;1892;3468;3468;3689;3689;4015;4037;4042;4044;4044;4048;7333;7333;7333,water cooler;hourglass;beach towel;beach towel;sauna heater;sauna heater;shower booth;log wall-mounted clock;log bench;log extra-long sofa;log extra-long sofa;rattan towel basket;ivory simple bath mat;ivory simple bath mat;ivory simple bath mat,7142,"3251,1_0",1.0.0,#9b553a,#ffd00d,chn02,jRwtNxCCWuznSMCZy
Elise,,,,Monkey,Female,Snooty,B,Fashion,3/21,puh-lease,K.K. Bossa,"Do as I say, not as I do.",Elegant,Gorgeous,Purple,Red,4791,red chic umbrella,abstract wall,simple purple flooring,794;1211;3615;3783;3784;3957;3958;3971;4015;4027;4046;4053;4129,phonograph;typewriter;open-frame kitchen;den desk;den chair;antique bed;antique mini table;imperial partition;shower booth;floral swag;rattan end table;rattan armchair;monstera,"3943,2_0",3615,1.0.0,#8b5f57,#d8cc39,mnk05,taRZ4jRFMGPkxCZo4
Ellie,,,,Elephant,Female,Normal,A,Nature,5/12,li'l one,K.K. Ballad,You need the sour to highlight the sweet.,Simple,Cute,Gray,Pink,3633,pink shiny-bows parasol,beige art-deco wall,rose flooring,794;1042;1081;3681;3951;3957;3958;3959;4027;4069;4132;7137;7368,phonograph;metronome;upright piano;piano bench;antique console table;antique bed;antique mini table;antique wardrobe;floral swag;table lamp;yucca;wooden full-length mirror;lacy rug,"3943,4_0","3270,4_0",1.0.0,#fffce9,#c0ab72,elp07,odt2kdswLHE2YMkQd
Elmer,,,,Horse,Male,Lazy,B,Play,10/5,tenderfoot,K.K. Country,"The horse doesn't pull the cart, the oats do.",Simple,Cool,Blue,White,3705,blue dot parasol,backyard-fence wall,backyard lawn,880;1631;1708;3229;3675;4038;4043;5970;5972;7142,wooden bucket;garden faucet;cassette player;clothesline;hay bed;log stool;log round table;firewood;wild log bench;simple DIY workbench,7142,"3270,1_0",1.0.0,#fffce9,#d86808,hrs03,LcRhQqeH8u7PboJ73
Eloise,,,,Elephant,Female,Snooty,B,Fashion,12/8,tooooot,K.K. Soul,An elephant never forgets.,Elegant,Simple,Green,Orange,8818,mint umbrella,yellow intricate wall,brown floral flooring,796;929;998;1050;3275;3775;3975;4049;4052;4053;4054;4076;4109,retro stereo;air conditioner;kitchen island;mixer;ironwood clock;hanging terrarium;orange end table;rattan wardrobe;rattan bed;rattan armchair;rattan low table;nail-art set;double-door refrigerator,"3943,4_0","998,3_0",1.0.0,#9b553a,#ffd00d,elp03,6QughAEZFkYZ5vKpw
Elvis,,,,Lion,Male,Cranky,B,Education,7/23,unh-hunh,K.K. Casbah,Better a live coward than a forgotten hero.,Gorgeous,Elegant,Red,Black,3283,bat umbrella,palace wall,palace tile,3473;3810;5955;5956;5956;5959;5961;5963;5963;5964;8825,golden seat;golden dishes;Virgo harp;Aquarius urn;Aquarius urn;Cancer table;Taurus bathtub;Pisces lamp;Pisces lamp;Leo sculpture;golden casket,"3122,3_0","3251,1_0",1.0.0,#9b553a,#ffd00d,lon01,4jYpCpw9nooMZHR8s
Erik,,,,Deer,Male,Lazy,A,Nature,7/27,chow down,Drivin',"If you're afraid of wolves, don't go to the woods.",Simple,Simple,Beige,Red,3630,snowflake umbrella,ski-slope wall,ski-slope flooring,3497;3498;3502;3503;3505;4003;7281,frozen table;frozen partition;frozen bed;frozen chair;frozen counter;cute music player;sleigh,"3943,4_0","3251,0_0",1.0.0,#fffce9,#e8b010,der09,BJcXu5LtRBo8DdZ2v
Étoile,,,,Sheep,Female,Normal,A,Music,12/25,fuzzy,K.K. Lullaby,Who knows what the stars have in store for us?,Cute,Gorgeous,Aqua,Pink,13171,purple shiny-bows parasol,Kiki & Lala wall,Kiki & Lala flooring,3205;3995;12242;12243;12244;12245;12256;12290,wooden-block stereo;cute DIY table;Kiki & Lala clock;Kiki & Lala table;Kiki & Lala sofa;Kiki & Lala cloud maker;Kiki & Lala bed;Kiki & Lala rug,"3995,0_0","3251,1_0",1.9.0,#ffd7eb,#b99fff,shp14,kPqyc2SXYZcapKxSL
Eugene,,,,Koala,Male,Smug,A,Music,10/26,yeah buddy,Agent K.K.,Imitation is the sincerest form of flattery.,Cool,Gorgeous,Black,Gray,3198,busted umbrella,office wall,monochromatic tile flooring,1232;1288;1744;1750;1750;1850;1870;2014;2014;3672;3672;3822;4116;7161;7529;7529,water cooler;fan palm;wall clock;document stack;document stack;laptop;mug;lecture-hall desk;lecture-hall desk;cardboard box;cardboard box;pro tape recorder;whiteboard;cardboard bed;folding chair;folding chair,"3943,0_0","3616,0_0",1.0.0,#fffce9,#4c3317,kal10,2XX9mSSzxEhwXMi4f
Eunice,,,,Sheep,Female,Normal,B,Fashion,4/3,lambchop,K.K. Disco,There is a point to every encounter.,Simple,Elegant,Beige,Orange,3643,sunny parasol,blue tile wall,blue rubber flooring,1165;1227;1227;1227;1227;1227;1227;1227;1227;1227;1227;1227;1227;1744;1802;2556;3431;3560;3586;3697;4048;7529;7529;7529;7529,surveillance camera;deluxe washer;deluxe washer;deluxe washer;deluxe washer;deluxe washer;deluxe washer;deluxe washer;deluxe washer;deluxe washer;deluxe washer;deluxe washer;deluxe washer;wall clock;drink machine;garbage pail;wall fan;iron worktable;magazine;portable radio;rattan towel basket;folding chair;folding chair;folding chair;folding chair,"1241,5_0","3251,1_0",1.0.0,#fffad4,#194c89,shp02,dbAfEFetNQpXajtch
Faith,,,,Koala,Female,Big Sister,B,Music,3/21,aloha,K.K. Slack-Key,Never let your mind be what holds you back.,Elegant,Cute,Red,White,4486,pineapple umbrella,ocean-horizon wall,sandy-beach flooring,1708;3618;3684;7259;13294;13340;13340;14055,cassette player;cutting board;coconut juice;palm-tree lamp;beach chairs with parasol;garden table;garden table;outdoor kitchen,"3943,4_0","14055,1_0",2.0.0,#fff2bb,#ff791f,kal07,WXqnimeiEgwpamc7E
Fang,,,,Wolf,Male,Cranky,B,Education,12/18,cha-chomp,K.K. Steppe,"You mess with the wolf, you get the fangs.",Simple,Cool,White,Aqua,7738,snowflake umbrella,arched-window wall,brown honeycomb tile,742;790;870;1145;2554;2561;3951;3954;3956;3957,fireplace;hi-fi stereo;book stands;snow globe;double sofa;floor lamp;antique console table;antique clock;antique bureau;antique bed,"3943,2_0","3270,2_0",1.0.0,#4b4496,#ddcdca,wol06,PFvvq6NGpsRgCwg2z
Fauna,,,,Deer,Female,Normal,A,Nature,3/26,dearie,K.K. Stroll,The first step is always the hardest.,Simple,Cute,Beige,White,4409,raindrop umbrella,red-brick wall,mint dot flooring,870;915;928;1557;1558;1561;1565;2558;3251;3618;4338;4445;5543;6078;9766,book stands;cuckoo clock;pot rack;wooden-block bed;wooden-block bookshelf;wooden-block chest;wooden-block table;wooden-block chair;gas range;cutting board;portable record player;vintage TV tray;wooden-block stool;tree's bounty lamp;mini fridge,"1241,0_0","3251,2_0",1.0.0,#fffce9,#7a2500,der00,kB5jGQAqkLnh8LxWy
Felicity,,,,Cat,Female,Peppy,B,Fashion,3/30,mimimi,K.K. Stroll,Love has no bounds.,Cute,Cute,Yellow,Orange,2677,mini-flower-print umbrella,backyard-fence wall,daisy meadow,331;333;1620;1625;1626;1627;1631;1829;1829;4003;4038,birdbath;birdhouse;hammock;iron garden bench;iron garden chair;iron garden table;garden faucet;cypress plant;cypress plant;cute music player;log stool,7142,"3251,1_0",1.0.0,#879b96,#fff98f,cat17,ygF99DNm88JRXvKLi
Filbert,,,,Squirrel,Male,Lazy,A,Nature,6/3,bucko,Stale Cupcakes,Don't go nuts or anything.,Simple,Cute,Blue,White,8194,pineapple umbrella,starry-sky wall,blue dot flooring,2605;3122;3438;3584;3623;4003;4761;5543;6826;6827;6827;6827;6829;7133;7133;7134;7253;7258,wooden simple bed;mini DIY workbench;wooden end table;study poster;toy box;cute music player;throwback rocket;wooden-block stool;nova light;starry garland;starry garland;starry garland;crescent-moon chair;wooden mini table;wooden mini table;wooden low table;star clock;modeling clay,"3122,6_0","3251,3_0",1.0.0,#fffce9,#55cfff,squ02,ffo6sBoX9fkMB4bem
Flip,,,,Monkey,Male,Jock,A,Music,11/21,rerack,K.K. Rally,"See no donut, hear no donut, speak no donut.",Active,Simple,Blue,Yellow,8058,kabuki umbrella,cherry-blossom-trees wall,gravel flooring,667;710;954;1185;1234;1802;2014;3400;3617;4026;6831;6831;10742;10743,shaved-ice maker;bamboo bench;espresso maker;phone box;portable toilet;drink machine;lecture-hall desk;dish-drying rack;stall;utility sink;blossom-viewing lantern;blossom-viewing lantern;bamboo stool;bamboo speaker,"3943,3_0","3251,0_0",1.0.0,#fff2bb,#ff791f,mnk06,ADkNZkrRxdSrfGFH8
Flo,,,,Penguin,Female,Big Sister,A,Music,9/2,cha,Space K.K.,Always keep a straight face.,Cool,Gorgeous,Red,Purple,4446,lemon umbrella,ice wall,ice flooring,928;998;1929;3428;3498;3498;3559;3562;4015;4054;4279;4338;7235;8394,pot rack;kitchen island;toilet;wall-mounted TV (50 in.);frozen partition;frozen partition;iron wall lamp;iron wall rack;shower booth;rattan low table;frozen-treat set;portable record player;rose bed;blue kitchen mat,"3943,4_0","998,0_0",1.0.0,#9ae8df,#6b75ce,pgn13,6cB5T5yZtevY6d2jp
Flora,,,,Ostrich,Female,Peppy,A,Play,2/9,pinky,K.K. Condor,Pink is the new black.,Cute,Active,Colorful,Pink,2686,hydrangea umbrella,meadow vista,oasis flooring,335;335;336;336;1429;1434;3697;4042;5972,Mr. Flamingo;Mr. Flamingo;Mrs. Flamingo;Mrs. Flamingo;campfire;sleeping bag;portable radio;log bench;wild log bench,7142,"3270,1_0",1.0.0,#fffce9,#ff6183,ost09,eDX52Zi7H7qifrwYm
Flurry,,,,Hamster,Female,Normal,A,Nature,1/30,powderpuff,Hypno K.K.,"Squeak your mind, even if your voice shakes.",Elegant,Cute,Red,Pink,3597,snowflake umbrella,beige blossoming wall,arabesque flooring,928;957;1081;1348;1798;2560;2561;2605;3122;3251;3681;3949;4003;7134;9766,pot rack;ventilation fan;upright piano;hamster cage;dinnerware;wooden chest;floor lamp;wooden simple bed;mini DIY workbench;gas range;piano bench;anthurium plant;cute music player;wooden low table;mini fridge,"3122,2_0","3251,1_0",1.0.0,#848484,#ffffff,ham06,B4cpBYrewfSK3WN6M
